path,ex0,ey0,ex1,ey1,ex2,ey2,ex3,ey3,ex4,ey4,ex5,ey5,lane
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280169_000058.jpg,0.190,0.276,1.864,0.461,2.562,0.650,3.265,0.930,4.655,1.498,5.317,1.871,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280169_000059.jpg,0.025,0.259,1.701,0.426,2.401,0.607,3.108,0.880,4.503,1.433,5.170,1.799,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280170_000060.jpg,1.060,0.329,1.807,0.452,2.513,0.669,3.909,1.155,4.314,1.360,5.254,1.870,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280170_000061.jpg,0.901,0.288,1.650,0.399,2.360,0.604,3.763,1.066,4.172,1.265,5.120,1.759,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280170_000062.jpg,1.632,0.379,2.346,0.572,3.764,1.058,4.443,1.348,5.596,2.026,5.735,2.164,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280170_000063.jpg,0.632,0.196,1.600,0.361,3.018,0.780,3.044,0.817,4.430,1.333,5.079,1.708,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280170_000064.jpg,0.468,0.177,1.438,0.332,2.860,0.738,2.886,0.775,4.277,1.277,4.930,1.647,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280170_000065.jpg,0.831,0.227,2.252,0.572,2.273,0.564,3.712,1.044,4.881,1.635,5.950,2.368,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280170_000066.jpg,0.668,0.204,2.093,0.534,2.113,0.525,3.557,0.989,4.733,1.568,5.809,2.290,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280170_000067.jpg,0.918,0.245,2.353,0.603,2.379,0.639,3.786,1.095,4.451,1.443,5.604,2.107,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280170_000068.jpg,0.897,0.241,1.631,0.430,3.080,0.820,3.784,1.107,4.451,1.447,5.566,2.107,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280171_000069.jpg,0.735,0.217,1.470,0.399,2.924,0.773,3.631,1.053,4.301,1.386,5.423,2.035,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280171_000071.jpg,0.692,0.247,2.140,0.544,2.569,0.693,3.568,1.074,4.747,1.687,5.826,2.404,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280171_000072.jpg,0.672,0.239,2.135,0.566,2.841,0.779,4.062,1.325,4.215,1.447,5.366,2.103,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280171_000073.jpg,1.376,0.393,1.405,0.428,2.838,0.795,3.522,1.101,4.715,1.691,5.330,2.106,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280171_000074.jpg,0.641,0.279,2.111,0.585,2.830,0.831,3.515,1.133,4.666,1.729,5.285,2.142,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280171_000075.jpg,1.490,0.447,1.923,0.584,2.933,0.935,4.129,1.513,5.228,2.198,5.417,2.323,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280171_000076.jpg,1.481,0.485,2.193,0.681,3.426,1.198,3.583,1.316,4.748,1.944,5.817,2.677,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280172_000079.jpg,1.409,0.553,2.639,1.005,3.785,1.610,4.006,1.673,5.087,2.388,6.177,3.400,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280172_000080.jpg,1.246,0.529,2.479,0.971,3.631,1.566,3.853,1.628,4.939,2.334,6.037,3.337,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280172_000081.jpg,0.052,0.321,1.502,0.615,2.202,0.885,3.422,1.414,4.058,1.797,5.166,2.535,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280172_000083.jpg,0.585,0.417,1.615,0.703,2.846,1.204,3.987,1.818,4.184,1.930,5.217,2.669,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280172_000086.jpg,0.864,0.470,1.580,0.689,2.793,1.145,3.457,1.482,4.152,1.904,5.764,3.104,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280172_000087.jpg,0.694,0.432,1.414,0.638,2.635,1.072,3.305,1.398,4.007,1.808,5.640,2.979,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280173_000088.jpg,1.227,0.589,2.440,1.045,2.668,1.081,3.829,1.655,5.038,2.523,5.060,2.480,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280173_000090.jpg,1.192,0.577,1.366,0.666,2.624,1.080,3.804,1.616,4.443,2.028,5.657,2.916,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280173_000091.jpg,0.625,0.446,1.913,0.780,2.600,1.060,3.809,1.618,3.955,1.784,5.057,2.441,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280173_000092.jpg,0.633,0.435,1.886,0.768,2.580,1.038,3.313,1.390,5.036,2.424,5.666,2.877,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280173_000093.jpg,1.310,0.613,2.537,1.029,2.749,1.108,3.891,1.666,4.549,2.047,5.786,2.936,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280173_000094.jpg,1.143,0.566,2.377,0.961,2.591,1.036,3.741,1.574,4.407,1.944,5.658,2.811,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280173_000095.jpg,1.265,0.570,1.970,0.803,3.213,1.278,3.370,1.434,4.514,2.015,5.740,2.881,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280174_000099.jpg,1.228,0.572,2.475,0.924,3.169,1.237,4.503,1.933,5.142,2.331,5.769,2.795,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280174_000100.jpg,1.455,0.626,1.676,0.679,2.875,1.099,3.574,1.400,4.906,2.137,5.681,2.690,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280174_000101.jpg,1.304,0.581,1.525,0.631,2.731,1.031,3.435,1.320,4.780,2.034,5.563,2.574,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280174_000104.jpg,0.702,0.419,1.491,0.615,3.388,1.279,4.097,1.595,4.064,1.640,5.398,2.374,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280174_000105.jpg,1.278,0.519,2.682,1.011,2.692,0.963,3.406,1.267,4.760,1.915,5.396,2.341,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280175_000108.jpg,1.248,0.485,1.436,0.603,2.678,0.920,4.064,1.498,4.755,1.859,5.379,2.283,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280175_000109.jpg,0.707,0.406,2.653,0.908,3.386,1.163,3.358,1.210,4.748,1.830,6.087,2.798,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280175_000115.jpg,0.684,0.417,2.145,0.779,2.860,1.016,3.579,1.318,4.235,1.687,5.636,2.561,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280175_000116.jpg,0.136,0.388,1.403,0.586,2.838,1.029,3.560,1.324,4.222,1.686,5.599,2.578,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280176_000119.jpg,1.517,0.586,2.245,0.780,2.981,1.038,3.658,1.367,5.109,2.156,5.762,2.585,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280176_000120.jpg,1.365,0.541,2.095,0.722,2.835,0.969,3.517,1.287,4.981,2.052,5.641,2.470,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280176_000121.jpg,0.916,0.450,2.381,0.775,3.097,1.046,3.956,1.469,5.239,2.194,5.877,2.637,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280176_000122.jpg,0.761,0.414,2.231,0.715,2.952,0.973,3.818,1.382,5.113,2.086,5.758,2.518,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280176_000124.jpg,1.353,0.473,2.274,0.714,3.605,1.273,3.509,1.214,4.195,1.587,5.663,2.393,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280176_000125.jpg,1.479,0.496,2.238,0.678,2.946,0.936,4.442,1.610,5.173,1.995,5.815,2.431,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280176_000126.jpg,0.748,0.327,0.732,0.380,2.234,0.632,3.772,1.234,3.648,1.217,5.175,1.921,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280177_000127.jpg,1.489,0.400,2.231,0.588,3.132,0.911,4.489,1.486,5.174,1.853,5.873,2.284,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280177_000129.jpg,0.718,0.258,1.489,0.379,2.214,0.580,3.784,1.094,4.503,1.397,5.178,1.780,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280177_000130.jpg,0.102,0.243,1.617,0.385,3.195,0.873,3.071,0.866,4.644,1.457,5.364,1.851,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280177_000135.jpg,0.661,0.213,1.401,0.360,2.982,0.797,3.764,1.066,4.464,1.398,5.207,1.749,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280177_000136.jpg,0.786,0.223,1.719,0.435,3.136,0.843,3.859,1.126,4.605,1.469,5.935,2.174,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280178_000138.jpg,0.773,0.263,2.388,0.608,3.136,0.833,3.847,1.142,4.600,1.469,5.335,1.838,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280178_000139.jpg,0.741,0.250,2.340,0.617,3.133,0.851,3.848,1.152,4.605,1.470,5.344,1.831,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280178_000140.jpg,1.595,0.451,1.471,0.457,3.099,0.874,3.858,1.187,4.617,1.501,5.956,2.194,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280178_000144.jpg,1.503,0.539,2.300,0.755,3.022,1.039,3.786,1.340,4.533,1.684,5.306,2.087,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280179_000147.jpg,1.300,0.578,2.042,0.811,2.809,1.102,4.184,1.715,4.355,1.787,5.713,2.443,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280179_000151.jpg,1.566,0.677,2.350,0.921,3.121,1.209,3.891,1.497,4.691,1.842,5.492,2.187,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280179_000152.jpg,0.807,0.437,1.552,0.651,2.341,0.878,3.118,1.148,4.570,1.701,4.746,1.759,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280179_000153.jpg,0.643,0.382,1.393,0.577,2.188,0.783,2.972,1.034,4.437,1.549,4.615,1.603,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280179_000154.jpg,0.676,0.368,1.432,0.542,2.232,0.727,3.022,0.956,3.846,1.240,5.512,1.820,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280179_000155.jpg,0.801,0.364,1.606,0.526,3.064,0.904,3.243,0.948,4.691,1.371,5.523,1.631,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280180_000156.jpg,0.677,0.303,1.486,0.441,2.954,0.777,3.135,0.815,4.594,1.196,5.433,1.432,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280180_000157.jpg,0.840,0.274,1.654,0.383,2.461,0.538,3.978,0.873,4.161,0.905,5.008,1.111,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280180_000158.jpg,0.684,0.200,1.501,0.281,2.314,0.409,3.841,0.692,4.025,0.718,4.878,0.895,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280180_000159.jpg,0.702,0.155,1.521,0.213,2.337,0.317,3.195,0.470,4.931,0.784,5.790,0.937,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280180_000160.jpg,0.870,0.118,2.368,0.272,2.552,0.288,4.047,0.487,4.908,0.619,5.770,0.751,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280180_000161.jpg,0.897,0.077,1.717,0.144,2.537,0.211,3.401,0.325,4.265,0.438,5.129,0.552,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280180_000164.jpg,0.022,-1.395,-0.002,-2.216,-0.026,-3.037,-0.311,-4.693,-0.255,-4.582,-0.630,-6.190,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280180_000165.jpg,0.049,-1.562,0.016,-2.382,-0.018,-3.202,-0.322,-4.855,-0.265,-4.745,-0.659,-6.349,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280181_000166.jpg,0.904,-0.071,1.726,-0.066,2.596,-0.018,3.467,0.030,4.337,0.079,5.207,0.127,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280181_000167.jpg,0.859,-0.093,2.412,-0.051,2.598,-0.054,3.468,-0.012,4.339,0.030,5.209,0.072,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280181_000168.jpg,0.891,-0.113,1.762,-0.073,3.524,0.010,4.396,0.050,5.057,0.041,5.926,0.080,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280181_000169.jpg,1.576,-0.083,1.716,-0.084,2.587,-0.046,3.458,-0.007,4.374,0.029,5.245,0.068,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280181_000170.jpg,0.057,-1.400,0.053,-1.584,0.048,-3.090,-0.002,-3.910,-0.094,-4.681,-0.402,-6.122,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280181_000171.jpg,0.050,-0.931,0.049,-1.070,0.089,-2.578,0.040,-3.398,-0.009,-4.218,-0.345,-5.864,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280181_000172.jpg,1.558,-0.066,1.743,-0.070,2.614,-0.030,3.485,0.010,4.356,0.049,5.272,0.086,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280181_000173.jpg,0.888,-0.074,2.651,0.011,3.522,0.051,4.183,0.043,5.052,0.082,6.180,0.167,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280181_000174.jpg,0.038,-0.900,0.034,-1.086,0.072,-2.639,0.068,-3.461,0.019,-4.281,-0.027,-5.055,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280182_000175.jpg,1.535,-0.050,2.405,-0.010,3.277,0.030,4.402,0.115,5.063,0.107,5.934,0.146,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280182_000176.jpg,0.862,-0.058,1.733,-0.018,2.603,0.022,3.474,0.062,4.390,0.099,5.261,0.139,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280182_000179.jpg,0.820,-0.044,1.690,-0.003,2.606,0.034,3.477,0.075,4.348,0.115,5.264,0.153,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280182_000180.jpg,0.998,-0.021,1.869,0.018,2.740,0.058,3.656,0.095,4.527,0.135,5.397,0.175,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280182_000181.jpg,0.787,-0.038,1.658,-0.004,2.529,0.029,3.445,0.060,4.316,0.094,5.187,0.127,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280182_000182.jpg,0.776,-0.066,1.648,-0.038,2.519,-0.010,3.435,0.015,4.307,0.043,5.178,0.071,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280182_000183.jpg,0.903,-0.058,1.819,-0.039,2.691,-0.016,3.562,0.007,4.479,0.026,5.350,0.049,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280182_000184.jpg,0.706,-0.072,1.623,-0.058,2.494,-0.041,3.366,-0.023,4.282,-0.010,5.154,0.008,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280183_000185.jpg,0.024,0.859,0.016,1.776,0.005,2.647,-0.007,3.519,-0.015,4.436,-0.027,5.307,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280183_000186.jpg,0.839,-0.107,1.710,-0.101,2.627,-0.099,3.499,-0.093,4.370,-0.087,5.287,-0.085,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280183_000187.jpg,0.847,-0.090,1.507,-0.128,2.377,-0.127,3.507,-0.092,4.167,-0.130,5.037,-0.130,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280183_000188.jpg,0.122,0.796,0.127,1.668,0.137,2.585,0.142,3.456,0.147,4.328,0.151,5.199,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280183_000189.jpg,0.143,0.959,0.152,1.830,0.161,2.702,0.176,3.619,0.185,4.490,0.195,5.362,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280183_000190.jpg,0.906,-0.153,1.823,-0.167,2.695,-0.176,3.566,-0.185,4.483,-0.199,5.355,-0.208,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280183_000191.jpg,0.700,-0.155,1.570,-0.162,2.701,-0.136,3.360,-0.180,4.230,-0.187,5.104,-0.193,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280183_000192.jpg,0.869,-0.127,1.741,-0.128,2.658,-0.133,3.529,-0.134,4.401,-0.134,5.318,-0.140,1
/home/autolab/VLA_simulation/lora_pipeline/manual_demos/images/man_L0_1780280183_000193.jpg,1.012,-0.100,1.883,-0.093,2.755,-0.087,4.354,-0.113,5.225,-0.106,6.097,-0.099,1
